id,order_id,created_at,_sku,name,price,quantity,title,variant_title,total_discount,fulfillable_quantity,fulfillment_status,gift_card,grams,product_exists,product_id,_inventory,requires_shipping,sku,tax_lines,taxable,variant_id,variant_inventory_management,vendor,estimated_ship_date,_inventory_source,test,total_tax,financial_status,cancelled_at,order_discount_amount,country,state,city,zip_code,orders_count
1369402998910,546356723838,2018-10-26 03:36:56,emma_tote_lightblue3,Emma,29.00,1,Emma,,0.00,0,fulfilled,False,454,True,151524331,true,True,emma_tote,"[{'title': 'GST', 'price': '2.90', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '2.90', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2.90', 'currency_code': 'USD'}}}]",True,25470322753,,Litographs,October 31,default,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403031678,546356723838,2018-10-26 03:36:56,leagues_tee_unisex_l_lightblue1,"20,000 Leagues Under the Sea - Unisex",34.00,1,"20,000 Leagues Under the Sea",Unisex,0.00,0,fulfilled,False,150,True,151522595,false,True,leagues_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,25504402241,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403064446,546356723838,2018-10-26 03:36:56,invisible_tee_unisex_m_navyblue1,The Invisible Man - Unisex,34.00,1,The Invisible Man,Unisex,0.00,0,fulfilled,False,150,True,151547911,false,True,invisible_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,25506631617,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403097214,546356723838,2018-10-26 03:36:56,clockwork_tee_unisex_l_orange,A Clockwork Orange - Unisex,34.00,1,A Clockwork Orange,Unisex,0.00,0,fulfilled,False,150,True,9092672653,false,True,clockwork_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,32075651341,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403129982,546356723838,2018-10-26 03:36:56,freud_tee_unisex_l_navyblue1,Dream Psychology - Unisex,34.00,1,Dream Psychology,Unisex,0.00,0,fulfilled,False,150,True,174678373,false,True,freud_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,25504775937,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403162750,546356723838,2018-10-26 03:36:56,brief_tee_unisex_l_darkblue,A Brief History of Time - Unisex,34.00,1,A Brief History of Time,Unisex,0.00,0,fulfilled,False,150,True,8281271681,false,True,brief_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,27743749953,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403195518,546356723838,2018-10-26 03:36:56,jungle_tee_unisex_2xl_green1,The Jungle Book - Unisex,34.00,1,The Jungle Book,Unisex,0.00,0,fulfilled,False,150,True,151548029,false,True,jungle_tee_unisex,"[{'title': 'GST', 'price': '3.40', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.40', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.40', 'currency_code': 'USD'}}}]",True,25506726337,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369403228286,546356723838,2018-10-26 03:36:56,siddhartha_tote_orange8,Siddhartha,29.00,1,Siddhartha,,0.00,0,fulfilled,False,454,True,151552615,false,True,siddhartha_tote,"[{'title': 'GST', 'price': '2.90', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '2.90', 'currency_code': 'USD'}, 'presentment_money': {'amount': '2.90', 'currency_code': 'USD'}}}]",True,25487455041,,Litographs,October 31,,False,27.20,paid,,0,Australia,Western Australia,Busselton,6280,1
1369401655422,546355970174,2018-10-26 03:30:29,scarletmeyer_tee_vneck_m_red2,Scarlet - Women's V-Neck,34.00,1,Scarlet,Women's V-Neck,0.00,0,fulfilled,False,150,True,8528238861,false,True,scarletmeyer_tee_vneck,[],True,29020772877,,Litographs,October 31,,False,0.00,paid,,0,United States,Texas,WIMBERLEY,78676,1
1369398050942,546353479806,2018-10-26 03:06:49,outlander_tote_navyblue,Outlander,29.00,1,Outlander,,0.00,0,fulfilled,False,454,True,1989313601,true,True,outlander_tote,[],True,25499037057,,Litographs,October 31,quickship,False,0.00,paid,,5.80,United States,North Carolina,Fayetteville,28311,2
1369397756030,546353315966,2018-10-26 03:05:09,pride_pack_1,Pride and Prejudice - Black,10.00,1,Pride and Prejudice,Black,0.00,0,fulfilled,False,0,True,9233733517,true,True,pride_pack_1,[],True,33368744589,shopify,Litographs,October 31,default,False,0.00,paid,,3.50,United States,Oregon,Salem,97301,4
1369397788798,546353315966,2018-10-26 03:05:09,littleprince_pack_1,The Little Prince - Black,10.00,1,The Little Prince,Black,0.00,0,fulfilled,False,0,True,1297915576446,true,True,littleprince_pack_1,[],True,12112486498430,,Litographs,October 31,default,False,0.00,paid,,3.50,United States,Oregon,Salem,97301,4
1369397821566,546353315966,2018-10-26 03:05:09,pride_pillow_limegreen,Pride and Prejudice,35.00,1,Pride and Prejudice,,0.00,1,,False,392,True,1301793636478,false,True,pride_pillow,[],True,12158196285566,,Litographs,November 2,,False,0.00,paid,,3.50,United States,Oregon,Salem,97301,4
1369397231742,546352988286,2018-10-26 03:00:05,hamlet_pack_1,Hamlet - Black,10.00,1,Hamlet,Black,0.00,0,fulfilled,False,0,True,9233721805,true,True,hamlet_pack_1,[],True,33368724045,shopify,Litographs,October 31,default,False,0.00,paid,,3.50,United States,California,Elk Grove,95624,6
1369397264510,546352988286,2018-10-26 03:00:05,midsummer_pillow_purple,A Midsummer Night's Dream,35.00,1,A Midsummer Night's Dream,,0.00,1,,False,392,True,1301810675838,false,True,midsummer_pillow,[],True,12158295572606,,Litographs,November 2,,False,0.00,paid,,3.50,United States,California,Elk Grove,95624,6
1369394708606,546351677566,2018-10-26 02:50:13,darwin_tee_unisex_m_darkgreen1,On the Origin of Species - Unisex,34.00,1,On the Origin of Species,Unisex,0.00,0,fulfilled,False,150,True,151526001,false,True,darwin_tee_unisex,[],True,25505529153,,Litographs,October 31,,False,0.00,paid,,5.80,United States,Indiana,Indianapolis,46208,1
1369394741374,546351677566,2018-10-26 02:50:13,littleprince_tote_green3,The Little Prince,29.00,1,The Little Prince,,0.00,0,fulfilled,False,454,True,7168158721,true,True,littleprince_tote,[],True,25459348737,,Litographs,October 31,quickship,False,0.00,paid,,5.80,United States,Indiana,Indianapolis,46208,1
1369394774142,546351677566,2018-10-26 02:50:13,bfg_tee_unisex_s_green5,The BFG - Unisex,34.00,1,The BFG,Unisex,0.00,0,fulfilled,False,150,True,151223336973,false,True,bfg_tee_unisex,[],True,1593068224525,,Litographs,October 31,,False,0.00,paid,,5.80,United States,Indiana,Indianapolis,46208,1
1369394806910,546351677566,2018-10-26 02:50:13,matilda_tee_unisex_s_navyblue,Matilda - Unisex,34.00,1,Matilda,Unisex,0.00,0,fulfilled,False,150,True,151396384781,false,True,matilda_tee_unisex,[],True,1593673285645,,Litographs,October 31,,False,0.00,paid,,5.80,United States,Indiana,Indianapolis,46208,1
1369393791102,546351120510,2018-10-26 02:44:10,outlander1_scarf_inf_script_purple,Outlander - Infinity,39.00,1,Outlander,Infinity,0.00,0,fulfilled,False,150,True,8239361537,false,True,outlander_scarf_inf,[],True,27558131905,,Litographs,October 31,,False,0.00,paid,,0,United States,California,El Dorado,95623,1
1369393201278,546350760062,2018-10-26 02:41:38,wuthering_tee_unisex_xl_lightgreen,Wuthering Heights - Unisex,34.00,1,Wuthering Heights,Unisex,0.00,0,fulfilled,False,150,True,151551715,false,True,wuthering_tee_unisex,[],True,25507525505,,Litographs,October 31,,False,0.00,paid,,0,United States,Texas,Humble,77346,2
1369393234046,546350760062,2018-10-26 02:41:38,wuthering_tote_lavender4,Wuthering Heights,29.00,1,Wuthering Heights,,0.00,0,fulfilled,False,454,True,151553759,true,True,wuthering_tote,[],True,25487886465,,Litographs,October 31,default,False,0.00,paid,,0,United States,Texas,Humble,77346,2
1369393102974,546350661758,2018-10-26 02:40:49,pride_scarf_inf_script_navyblue,Pride and Prejudice - Infinity,39.00,1,Pride and Prejudice,Infinity,0.00,1,,False,150,True,7833327809,false,True,pride_scarf_inf,"[{'title': 'GST', 'price': '3.90', 'rate': 0.1, 'price_set': {'shop_money': {'amount': '3.90', 'currency_code': 'USD'}, 'presentment_money': {'amount': '3.90', 'currency_code': 'USD'}}}]",True,25457723969,,Litographs,October 31,,False,4.90,paid,,0,Australia,South Australia,Onkaparinga Hills,5163,1
1369391628414,546349809790,2018-10-26 02:35:25,outlander_blanket_standard_burgundy1,Outlander,69.00,1,Outlander,,0.00,0,fulfilled,False,880,True,1301802123390,false,True,outlander_blanket_standard,[],True,12158274633854,,Litographs,November 2,,False,0.00,paid,,6.90,United States,Missouri,OFallon,63368,5
